,,,Civil,EE,ME,ECE,CSE,MDS,MME,Chem,B.Tech.,B.Arch.,B.Plan,TOTAL,
,,,108,129,204,169,238,29,68,74,578,84,42,704,
2024-07-01,Infosys,FTE,,1,,,,,,,1,,,1,9.5
2024-07-02,Zomato,6M + FTE,0,0,0,1,1,0,,0,2,,,2,56.0
2024-07-03,Microsoft,PPO,,,,,10,,,,10,,,10,52.5
2024-07-04,Google,FTE,,0,,0,4,,,,4,,,4,55.0
2024-07-05,Goldman Sachs,PPO,,,,1,1,,,,2,,,2,30.0
2024-07-06,Meesho (SDE),6M + FTE,,,,2,2,,,,4,,,4,34.0
2024-07-07,Meesho (BA),6M + FTE,,,,1,,2,,,3,,,3,21.0
2024-07-08,Bajaj Auto,FTE,,2,,,,,,,2,,,2,11.75
2024-07-09,Texas Instruments (SDE),PPO,,,,,3,,,,3,,,3,38.52
2024-07-10,Flipkart,PPO,,,,,1,,,,1,,,1,32.0
2024-07-11,Futures First,6M,0,0,1,1,2,0,1,0,5,0,0,5,13.65
2024-07-12,Texas Instruments (SDE),FTE,,0,,0,2,0,,,2,,,2,38.52
2024-07-13,Texas Instruments (ItOps),6M,,,,,,,,,0,,,0,17.16
2024-08-01,Bajaj Auto,PPO,,1,,,,,,,1,,,1,11.75
2024-08-02,Siemens EDA,6M,,0,,2,8,0,,,10,,,10,24.0
2024-08-03,Piramal,6M + FTE,0,3,0,1,1,1,,1,7,,,7,12.54
2024-08-04,FICO,6M + FTE,,,,,,,,,0,,,0,9.0
2024-08-05,MSCI,6M,,1,,1,2,0,,,4,,,4,15.0
2024-08-06,Oracle,6M + FTE,,,,,4,,,,4,,,4,33.25
2024-08-07,Mondelez,PPO,,,1,,,,,,1,,,1,12.5
2024-08-08,Paypal,PPO,,,,,3,1,,,4,,,4,34.0
2024-08-09,Cisco,PPO,,,,1,3,,,,4,,,4,24.0
2024-08-10,HPCL,FTE,,,1,,2,,,,3,,,3,17.37
2024-08-11,Axxela,6M,0,2,1,0,1,0,1,1,6,0,1,7,14.1
2024-08-12,ProcDNA,6M + FTE,,,,,,,,,0,,,0,16.1
2024-08-13,Flipkart Neev,6M,1,2,7,1,,1,2,,14,,,14,13.52
2024-08-14,EatClub,6M + FTE,0,0,0,0,0,0,0,0,0,,,0,22.0
2024-08-15,Siemens PLM,6M,,,,,2,,,,2,,,2,14.0
2024-08-16,Warner Bros Discovery,PPO,,,,,1,,,,1,,,1,25.0
2024-08-17,Verisk Analytics,6M + FTE,,,,,5,,,,5,,,5,15.0
2024-08-18,Clarity,6M,1,0,0,0,0,1,0,0,2,,,2,15.0
2024-08-19,Deutsche Bank,PPO,,,,,10,,,,10,,,10,20.5
2024-08-20,JPMC,PPO,,2,,,5,,,,7,,,7,19.75
2024-08-21,Amazon (Non-Tech),6M,1,,3,,,,2,2,8,,,8,30.5
2024-08-22,Google,PPO,,,,2,3,,,,5,,,5,55.0
2024-08-23,BlackRock,6M,,,,,,,,,0,,,0,18.0
2024-08-24,JPMC,FTE,,,,,1,1,,,2,,,2,19.75
2024-08-25,LeapFinance,6M,0,1,1,0,2,0,0,0,4,,,4,12.0
2024-09-01,GE Vernova,6M,,2,,0,0,0,,,2,,,2,17.37
2024-09-02,Merilytics,6M + FTE,,0,,0,0,0,,,0,,,0,8.5
2024-09-03,Adobe,PPO,,,,,,,,,0,,,0,10.71
2024-09-04,Accenture,FTE,0,0,0,1,0,0,0,0,1,,,1,10.89
2024-09-05,Cisco,6M + FTE,,,,,1,,,,1,,,1,24.0
2024-09-06,SRF,FTE,,,,,,,,2,2,,,2,7.0
2024-09-07,Quantiphi,6M,0,0,0,0,0,1,1,0,2,,,2,8.5
2024-09-08,NSE,FTE,,4,,5,4,0,,,13,,,13,8.0
2024-09-09,Nation with Namo,6M,,,,3,1,,,,4,,,4,12.0
2024-09-10,GrowthJockey,6M + FTE,0,0,0,0,2,0,0,0,2,0,1,3,10.0
2024-09-11,Kanerika,6M + FTE,,,,0,0,0,,,0,,,0,10.0
2024-09-12,Ecom Express,FTE,,,,,3,,,,3,,,3,14.0
2024-09-13,Trianz,FTE,,0,,0,2,0,,,2,,,2,9.0
2024-09-14,Biz4 Solutions,6M + FTE,0,0,0,0,0,0,0,0,0,,,0,7.0
2024-09-15,Codesmith,6M + FTE,1,0,0,1,0,0,0,0,2,0,0,2,7.5
2024-09-16,Hinduja Renewables,FTE,0,1,,,,,,,1,,,1,7.5
2024-09-17,AbinBev,FTE,0,0,1,0,,,1,0,2,,,2,15.0
2024-09-18,UKG,6M,,0,,1,1,0,,,2,,,2,21.6
2024-09-19,Sigmoid,6M + FTE,,5,,2,1,,,,8,,,8,8.0
2024-09-20,Ashok Leyland,FTE,,0,1,0,,,,,1,,,1,5.0
2024-09-21,AMD,6M,,0,,1,1,,,,2,,,2,32.0
2024-09-22,Mckinley Rice,6M / FTE,0,0,0,0,0,0,0,0,0,0,,0,10.0
2024-09-23,Maruti Suzuki,FTE,,3,13,,0,,,,16,,,16,7.3
2024-10-01,NucleusTeq,FTE,,1,,,1,1,,,3,,,3,9.0
2024-10-02,Reliance,PPO,,,1,,,,,,1,,,1,8.88
2024-10-03,Birla Pivot,6M,,,,,2,,,,2,,,2,14.0
2024-10-04,Reliance,FTE,5,5,7,,4,,7,5,33,,,33,8.88
2024-10-05,Sintex Welspun,6M,,0,4,,,,,,4,,,4,6.0
2024-10-06,ZS Associates,FTE,2,5,4,5,7,2,3,4,32,,,32,22.65
2024-10-07,V-Construct,6M + FTE,1,,,,,,,,1,2,,3,6.5
2024-10-08,Go-Grab (S&O),6M,1,0,2,0,1,0,0,0,4,,,4,8.0
2024-10-09,Schneider Electric,6M + FTE,,1,,1,,,,,2,,,2,12.0
2024-10-10,Appointy,6M,0,1,0,1,1,0,0,0,3,,,3,14.0
2024-10-11,Kratikal,6M + FTE,,0,0,0,0,,,,0,,,0,8.0
2024-10-12,Kickdrum,6M,,,,,0,,,,0,,,0,15.73
2024-10-13,Studio INI,6M + FTE,0,,,,,,,,0,0,0,0,6.0
2024-10-14,Morphle Labs,6M,,,0,,,,,,0,,,0,10.0
2024-10-15,Qualcomm (HW),6M,,,,1,,,,,1,,,1,28.75
2024-10-16,DeltaX,FTE,0,0,0,0,0,0,0,0,0,,,0,7.0
2024-10-17,NXP Semiconductors,6M,,,,1,,,,,1,,,1,23.0
2024-10-18,Porter,6M,,1,,2,3,1,,,7,,,7,17.0
2024-10-19,Nutanix,6M,,1,,1,3,,,,5,,,5,52.0
2024-10-20,Gramener,FTE,,,,3,2,1,,,6,,,6,12.0
2024-10-21,Practo,6M,,0,,5,,,,,5,,,5,12.0
2024-10-22,Qbit Labs,6M + FTE,,,,3,,,,,3,,,3,9.33
2024-10-23,Sedamac,6M,,2,,,,,,,2,,,2,16.0
2024-10-24,Datoms,6M,,0,,0,0,,,,0,,,0,12.0
2024-10-25,TCS R&I,FTE,0,0,0,0,0,0,0,0,0,,,0,9.0
2024-10-26,Quriousbit Games,6M,,,,,1,,,,1,,,1,10.0
2024-11-01,Varroc,11M,,,,,,,,,0,,,0,12.5
2024-11-02,FIS Global,6M + FTE,,,,,,,,,0,,,0,8.0
2024-11-03,Carriers,FTE,,1,3,,,,,,4,,,4,8.5
2024-11-04,Caterpillar,FTE,,,3,,,,,,3,,,3,13.24
2024-11-05,Samsung,FTE,,1,,1,5,0,,,7,,,7,15.5
2024-11-06,InfoEdge,FTE,,,,3,1,0,,,4,,,4,14.5
2024-11-07,Micron,FTE,,0,3,1,,,,,4,,,4,13.17
2024-11-08,BIS,6M,,0,1,,,,,0,1,,,1,
2024-11-09,Siemens GET,FTE,,2,0,0,,,,,2,,,2,6.0
2024-11-10,Rashmi Metaliks,6M + FTE,0,0,5,2,2,,3,,12,,,12,8.4
2024-11-11,TCS NQT ( Ninja ),FTE,1,1,2,,3,,,3,10,,,10,3.36
2024-11-12,TCS NQT ( Digital ),FTE,,2,,,,1,,,3,,,3,7.0
2024-11-13,TCS NQT ( Prime ),FTE,,1,,,,,,,1,,,1,9.0
2024-11-14,Honda,6M,,1,3,,,,0,0,4,,,4,8.4
2024-11-15,InfoObjects,6M + FTE,,1,,0,0,0,,,1,,,1,7.0
2024-11-16,ZScaler,6M,,0,,1,0,0,,,1,,,1,27.0
2024-11-17,Warner Bros Discovery,6M + FTE,,,,,3,1,,,4,,,4,25.0
